Date,Site,Subsite,Total,Stage,Num in stage,Prop in stage
11/20/17,PB,8_2,12,1,0,0
11/20/17,PB,8_2,12,2,6,0.5
11/20/17,PB,8_2,12,3,6,0.5
11/20/17,PB,8_2,12,4,0,0
11/20/17,PB,8_2,12,5,0,0
11/21/17,PB,6,4,1,4,1
11/21/17,PB,6,4,2,0,0
11/21/17,PB,6,4,3,0,0
11/21/17,PB,6,4,4,0,0
11/21/17,PB,6,4,5,0,0
11/21/17,PB,8_1,870,1,326,0.374712644
11/21/17,PB,8_1,870,2,149,0.171264368
11/21/17,PB,8_1,870,3,64,0.073563218
11/21/17,PB,8_1,870,4,32,0.036781609
11/21/17,PB,8_1,870,5,14,0.016091954
11/24/17,PB,18-1,445,1,143,0.321348315
11/24/17,PB,18-1,445,2,207,0.465168539
11/24/17,PB,18-1,445,3,48,0.107865169
11/24/17,PB,18-1,445,4,42,0.094382022
11/24/17,PB,18-1,445,5,5,0.011235955
11/24/17,PB,18-2,978,1,430,0.439672802
11/24/17,PB,18-2,978,2,353,0.360940695
11/24/17,PB,18-2,978,3,85,0.086912065
11/24/17,PB,18-2,978,4,101,0.103271984
11/24/17,PB,18-2,978,5,9,0.009202454
12/10/17,PB,8_1,712,1,309,0.433988764
12/10/17,PB,8_1,712,2,269,0.377808989
12/10/17,PB,8_1,712,3,100,0.140449438
12/10/17,PB,8_1,712,4,24,0.033707865
12/10/17,PB,8_1,712,5,10,0.014044944
12/10/17,PB,18-1,364,1,120,0.32967033
12/10/17,PB,18-1,364,2,129,0.354395604
12/10/17,PB,18-1,364,3,75,0.206043956
12/10/17,PB,18-1,364,4,37,0.101648352
12/10/17,PB,18-1,364,5,3,0.008241758
12/10/17,PB,18-2,650,1,240,0.369230769
12/10/17,PB,18-2,650,2,256,0.393846154
12/10/17,PB,18-2,650,3,95,0.146153846
12/10/17,PB,18-2,650,4,52,0.08
12/10/17,PB,18-2,650,5,7,0.010769231
12/11/17,PB,8_2,14,1,6,0.428571429
12/11/17,PB,8_2,14,2,4,0.285714286
12/11/17,PB,8_2,14,3,3,0.214285714
12/11/17,PB,8_2,14,4,0,0
12/11/17,PB,8_2,14,5,1,0.071428571
1/28/18,PB,8_1,536,1,256,0.47761194
1/28/18,PB,8_1,536,2,203,0.378731343
1/28/18,PB,8_1,536,3,54,0.100746269
1/28/18,PB,8_1,536,4,11,0.020522388
1/28/18,PB,8_1,536,5,13,0.024253731
1/28/18,PB,18-1,1073,1,112,0.104380242
1/28/18,PB,18-1,1073,2,492,0.458527493
1/28/18,PB,18-1,1073,3,279,0.260018639
1/28/18,PB,18-1,1073,4,173,0.161230196
1/28/18,PB,18-1,1073,5,17,0.01584343
2/17/18,PB,18-1,4146,1,215,0.051857212
2/17/18,PB,18-1,4146,2,1893,0.45658466
2/17/18,PB,18-1,4146,3,1060,0.255668114
2/17/18,PB,18-1,4146,4,877,0.211529185
2/17/18,PB,18-1,4146,5,101,0.02436083
2/17/18,PB,18-2,1695,1,463,0.273156342
2/17/18,PB,18-2,1695,2,808,0.476696165
2/17/18,PB,18-2,1695,3,326,0.192330383
2/17/18,PB,18-2,1695,4,92,0.054277286
2/17/18,PB,18-2,1695,5,6,0.003539823
3/11/18,PB,8_1,428,1,180,0.420560748
3/11/18,PB,8_1,428,2,176,0.411214953
3/11/18,PB,8_1,428,3,62,0.144859813
3/11/18,PB,8_1,428,4,3,0.007009346
3/11/18,PB,8_1,428,5,7,0.01635514
3/11/18,PB,18-1,1462,1,58,0.039671683
3/11/18,PB,18-1,1462,2,638,0.436388509
3/11/18,PB,18-1,1462,3,401,0.274281806
3/11/18,PB,18-1,1462,4,338,0.23119015
3/11/18,PB,18-1,1462,5,27,0.018467852
3/11/18,PB,18-2,453,1,135,0.298013245
3/11/18,PB,18-2,453,2,227,0.501103753
3/11/18,PB,18-2,453,3,67,0.14790287
3/11/18,PB,18-2,453,4,21,0.046357616
3/11/18,PB,18-2,453,5,3,0.006622517
4/15/18,CR,2,124,1,37,0.298387097
4/15/18,CR,2,124,2,64,0.516129032
4/15/18,CR,2,124,3,14,0.112903226
4/15/18,CR,2,124,4,9,0.072580645
4/15/18,CR,2,124,5,0,0
4/28/18,PB,8_1,188,1,59,0.313829787
4/28/18,PB,8_1,188,2,85,0.45212766
4/28/18,PB,8_1,188,3,33,0.175531915
4/28/18,PB,8_1,188,4,5,0.026595745
4/28/18,PB,8_1,188,5,6,0.031914894
4/28/18,PB,8_2,23,1,20,0.869565217
4/28/18,PB,8_2,23,2,1,0.043478261
4/28/18,PB,8_2,23,3,1,0.043478261
4/28/18,PB,8_2,23,4,0,0
4/28/18,PB,8_2,23,5,1,0.043478261
5/8/18,PB,18-1,1250,1,345,0.276
5/8/18,PB,18-1,1250,2,411,0.3288
5/8/18,PB,18-1,1250,3,282,0.2256
5/8/18,PB,18-1,1250,4,199,0.1592
5/8/18,PB,18-1,1250,5,23,0.0184
5/16/18,PB,6,89,1,77,0.865168539
5/16/18,PB,6,89,2,12,0.134831461
5/16/18,PB,6,89,3,0,0
5/16/18,PB,6,89,4,0,0
5/16/18,PB,6,89,5,0,0
5/16/18,PB,8_1,223,1,161,0.721973094
5/16/18,PB,8_1,223,2,39,0.174887892
5/16/18,PB,8_1,223,3,20,0.089686099
5/16/18,PB,8_1,223,4,2,0.00896861
5/16/18,PB,8_1,223,5,1,0.004484305
5/16/18,PB,8_2,37,1,32,0.864864865
5/16/18,PB,8_2,37,2,5,0.135135135
5/16/18,PB,8_2,37,3,0,0
5/16/18,PB,8_2,37,4,0,0
5/16/18,PB,8_2,37,5,0,0
5/19/18,PB,8_1,227,1,116,0.511013216
5/19/18,PB,8_1,227,2,97,0.427312775
5/19/18,PB,8_1,227,3,7,0.030837004
5/19/18,PB,8_1,227,4,0,0
5/19/18,PB,8_1,227,5,7,0.030837004
5/21/18,PB,8_1,68,1,34,0.5
5/21/18,PB,8_1,68,2,22,0.323529412
5/21/18,PB,8_1,68,3,7,0.102941176
5/21/18,PB,8_1,68,4,1,0.014705882
5/21/18,PB,8_1,68,5,4,0.058823529
5/28/18,PB,18-1,273,1,5,0.018315018
5/28/18,PB,18-1,273,2,120,0.43956044
5/28/18,PB,18-1,273,3,90,0.32967033
5/28/18,PB,18-1,273,4,53,0.194139194
5/28/18,PB,18-1,273,5,5,0.018315018
5/28/18,PB,18-2,20,1,7,0.35
5/28/18,PB,18-2,20,2,12,0.6
5/28/18,PB,18-2,20,3,1,0.05
5/28/18,PB,18-2,20,4,0,0
5/28/18,PB,18-2,20,5,0,0
6/3/18,PB,18-1,333,1,102,0.306306306
6/3/18,PB,18-1,333,2,113,0.339339339
6/3/18,PB,18-1,333,3,68,0.204204204
6/3/18,PB,18-1,333,4,38,0.114114114
6/3/18,PB,18-1,333,5,12,0.036036036
6/3/18,PB,18-2,471,1,182,0.38641189
6/3/18,PB,18-2,471,2,165,0.350318471
6/3/18,PB,18-2,471,3,79,0.167728238
6/3/18,PB,18-2,471,4,43,0.091295117
6/3/18,PB,18-2,471,5,2,0.004246285
6/10/18,PB,8_2,27,1,27,1
6/10/18,PB,8_2,27,2,0,0
6/10/18,PB,8_2,27,3,0,0
6/10/18,PB,8_2,27,4,0,0
6/10/18,PB,8_2,27,5,0,0
6/19/18,PB,18-1,386,1,32,0.082901554
6/19/18,PB,18-1,386,2,134,0.347150259
6/19/18,PB,18-1,386,3,111,0.287564767
6/19/18,PB,18-1,386,4,97,0.251295337
6/19/18,PB,18-1,386,5,12,0.031088083
6/19/18,PB,18-2,67,1,33,0.492537313
6/19/18,PB,18-2,67,2,24,0.358208955
6/19/18,PB,18-2,67,3,6,0.089552239
6/19/18,PB,18-2,67,4,3,0.044776119
6/19/18,PB,18-2,67,5,1,0.014925373
6/19/18,PB,8_1,41,1,18,0.43902439
6/19/18,PB,8_1,41,2,10,0.243902439
6/19/18,PB,8_1,41,3,7,0.170731707
6/19/18,PB,8_1,41,4,4,0.097560976
6/19/18,PB,8_1,41,5,2,0.048780488